Partners,Balance in value in 2018,Balance in value in 2019,Balance in value in 2020,Balance in value in 2021,Balance in value in 2022,Exported value in 2022,Imported value in 2022
Turkmenistan,7328100,-201401,-842824,-1456501,10793504,14227441,3433937
Equatorial Guinea,5500169,4117885,1958524,4202968,8429827,10107198,1677371
Congo,7788040,3275596,3064894,10727,7567739,11110216,3542477
Trinidad and Tobago,2905480,849522,640701,2845296,7018274,13220758,6202484
Bahrain,-6243836,-4421754,-3899781,655883,6717680,22252183,15534503
Gabon,5055325,3835604,3903115,4403764,6440047,9012255,2572208
Czech Republic,17597555,20196645,20867172,14687774,5213788,241132362,235918574
Brunei Darussalam,2383828,2148153,1293007,3338071,5049500,14238438,9188938
Mongolia,1136970,1492398,2277540,2398468,3810854,12557709,8746855
Denmark,6821811,12872327,11092756,3230588,3327618,129059446,125731828
Chad,786357,218693,556887,1699664,2962221,3857417,895196
Nigeria,16442788,6237397,-19648526,-4871258,2851072,63338596,60487524
Zambia,-440812,-264390,2682237,4105992,2641355,11689732,9048377
Guinea,1796963,2188744,7203261,4763930,2599412,8606447,6007035
"Congo, Democratic Republic of the",12073892,4557497,7459048,10362477,2521572,29518054,26996482
Ecuador,-1376125,-63739,2423206,549336,2331438,35380362,33048924
Free Zones,2258445,3539188,861222,1130013,1844707,5461981,3617274
Lao People's Democratic Republic,-33230,11904,1109524,1293322,1533549,9158998,7625449
Suriname,-24081,-250484,-144466,910160,776155,2579355,1803200
"Bolivia, Plurinational State of",-1031092,-860166,-64799,1470927,603407,13652813,13049406
Greenland,-188253,274155,573031,488238,469388,1532564,1063176
Eswatini,-18091,159835,146844,-54387,361400,2383669,2022269
Tokelau,25422,9642,29879,19840,343290,347059,3769
Falkland Islands (Malvinas),177680,218948,302751,195485,289959,402796,112837
Botswana,267171,-1339924,-2225095,-980672,271875,8277084,8005209
Eritrea,103448,106472,286241,330821,242740,574908,332168
New Caledonia,-343301,-695492,-264035,-210296,221679,3057706,2836027
Nauru,-105788,-62012,-6291,96943,140074,222513,82439
Faroe Islands,244831,243063,164849,225124,49820,1493569,1443749
"Micronesia, Federated States of",-4693,25130,-9905,70158,41848,200932,159084
Solomon Islands,-32277,276531,183939,45618,34830,574355,539525
Bouvet Island,544,-70,39,-16,350,350,
British Antarctic Territory,6,5,1,144,8,8,
"North America and Central America, nes",,,,-69657,-1,,1
West Asia not elsewhere specified,-2774521,,-142258,-1696623,-162,15,177
Neutral Zone,-83,-68,-1252,-3287,-648,485,1133
Saint Helena,-4384,-10809,-39522,-11209,-3241,41983,45224
Cocos (Keeling) Islands,-2110,-3470,-1928,-5610,-9832,3214,13046
Niue,111573,42698,69378,-21435,-24443,7252,31695
Norfolk Island,-20952,-24428,-46589,-34352,-31307,2067,33374
French Southern and Antarctic Territories,-8475,-47680,-20196,-60158,-32555,23841,56396
Montserrat,-29836,-26974,-24943,,-32592,6645,39237
Christmas Island,-9711,-10485,-8903,-25954,-37561,16222,53783
British Indian Ocean Territory,-41136,9788,-30670,-60295,-50505,6131,56636
Guam,-21588,-22831,-11014,-36994,-50801,3677,54478
Wallis and Futuna Islands,-39247,-44143,-38733,-50143,-59263,718,59981
Saint Pierre and Miquelon,-41181,-41096,-66581,-66497,-61471,8953,70424
South Sudan,838680,707490,-177369,-750565,-64445,448093,512538
Tuvalu,-56118,-69598,-94392,-13482,-73369,80055,153424
Kiribati,-94464,,-99676,-164903,-79838,126392,206230
American Samoa,-56241,-67676,-52431,-52049,-85750,7771,93521
Cook Islands,-98342,-165829,-60315,-126318,-123618,35857,159475
Sint Maarten (Dutch part),-196984,-152780,-117641,-125303,-140223,11102,151325
Northern Mariana Islands,-167849,-165668,-104729,-61700,-151663,2984,154647
Western Sahara,-9604,-18542,-1556,-30515,-153145,491,153636
Anguilla,-131326,-75483,-58825,-119793,-153408,12913,166321
Guinea-Bissau,79062,-80902,-149727,-210037,-173628,221977,395605
Sao Tome and Principe,-142650,-138036,-125828,-147100,-173710,22589,196299
Palau,-145792,-87873,-81219,-122652,-174597,8232,182829
Vanuatu,-145131,-156155,-41972,-29007,-202216,222507,424723
Comoros,-185244,-154050,-248338,-407890,-209609,62365,271974
Tonga,-184616,-196271,-164967,-206700,-231154,13507,244661
Myanmar,-2659035,-505006,-1034951,822788,-318846,17084513,17403359
Saint Kitts and Nevis,-288865,-276717,-231234,-212716,-324898,52909,377807
Dominica,-292167,-279077,-166822,-176226,-373890,25796,399686
Saint Vincent and the Grenadines,-309976,-294628,-265979,-337797,-393020,44931,437951
Sierra Leone,-783796,-422496,-599583,-628004,-414883,1302569,1717452
Samoa,-319326,-341751,-274503,-341244,-437423,54705,492128
Timor-Leste,-496344,-394189,-247007,-84017,-461688,471774,933462
Central African Republic,-329454,-442641,-503872,-428641,-511701,117824,629525
Grenada,-477060,-445354,-369932,-411513,-551798,37472,589270
"Korea, Democratic People's Republic of",-2146155,-2290918,-379967,-121479,-600530,304250,904780
Antigua and Barbuda,-543313,-530934,-400397,-460649,-601145,21827,622972
Malawi,-1827245,-2028165,-1948292,-2107427,-612139,940876,1553015
Turks and Caicos Islands,-450318,-237707,-209265,-414194,-628118,50171,678289
Guyana,-2500237,-2138007,319251,97187,-690943,7866427,8557370
Cameroon,-2328718,-2498939,-2450825,-2665824,-712300,7258630,7970930
Cabo Verde,-739334,-727928,-682148,-718474,-789976,42149,832125
Seychelles,-1029804,-629637,-719606,-792858,-831831,575471,1407302
"Bonaire, Sint Eustatius and Saba",-421498,-271688,-221038,-553365,-833545,5948,839493
British Virgin Islands,-1353545,-1415391,-555909,-1915446,-877085,353126,1230211
Bhutan,-495913,-546037,-626650,-757595,-956889,398961,1355850
Lesotho,-395602,-723535,-662301,-854847,-964209,917187,1881396
Burundi,-613764,-706573,-746818,-867936,-1014793,188869,1203662
Pitcairn,-1310,-3968,640,2470,-1035712,462343,1498055
Burkina Faso,-1037801,-998218,195502,349252,-1083074,4548742,5631816
Belize,-714436,-740988,-575226,-799963,-1091752,286430,1378182
Bermuda,-1049153,-1092259,-884853,-1026594,-1158731,33527,1192258
Gambia,-665592,-589100,-646861,-682576,-1253123,183626,1436749
Saint Lucia,-556136,-526537,-465516,-1445397,-1268667,62243,1330910
Mauritania,-998492,-629190,87696,-593476,-1341792,3778019,5119811
Aruba,-1175400,-1236819,-873771,-1081432,-1368620,105514,1474134
"Palestine, State of",-5383956,-5509646,-5008814,-6471472,-1421079,115930,1537009
Togo,-892789,-939126,-1180024,-1423835,-1446365,1351193,2797558
Andorra,-1480284,-1413919,-1328031,-1399518,-1478298,386143,1864441
Belarus,-4682771,-6521557,-3587992,-1921667,-1560692,10975010,12535702
Côte d'Ivoire,793258,2242742,1921840,1358366,-1576829,16395306,17972135
Uganda,-3642103,-4132244,-4101553,-5120720,-1583066,2989780,4572846
Barbados,-1142389,-1136970,-1156031,-1323448,-1649899,497642,2147541
Liberia,-1417224,-948516,-768023,-1529485,-1717764,202889,1920653
Uruguay,-1360500,-497621,-657683,-779413,-1783433,11190032,12973465
Curaçao,-1264107,-1105512,-921287,-1274413,-1918611,364778,2283389
Rwanda,-1953657,-2057461,-2275469,-2174198,-1931706,1435898,3367604
Fiji,-1717493,-1757191,-905842,-1301253,-1945280,1070466,3015746
Namibia,-800644,-1275877,-1188609,-1985260,-1952965,6004803,7957768
United States Minor Outlying Islands,-1132581,-1167544,-1455116,-802977,-1960794,169728,2130522
Madagascar,-928720,-1332487,-1270430,-1661615,-1969165,3509026,5478191
French Polynesia,-2109187,-1976852,-1633510,-1859957,-2073751,146444,2220195
Peru,4078923,2771180,2693142,5082372,-2074067,58172424,60246491
Cuba,-9170636,-4115877,-2217091,-2668438,-2299336,1900565,4199901
Iceland,-2099537,-1329195,-1115307,-1865249,-2340326,7423913,9764239
Tunisia,-7173485,-6532007,-4583218,-5379223,-2420299,19876070,22296369
Cayman Islands,,,-1312482,-1520738,-2448918,2189575,4638493
Benin,-2396227,-2056803,-1806770,-2390641,-2511711,832937,3344648
Ghana,5219117,6328480,-2708537,-5985523,-2684807,16259084,18943891
Tajikistan,-2070488,-2211894,-1827137,-2430877,-2852825,2330041,5182866
Zimbabwe,-2764001,-514505,-1248264,-1541446,-2908515,2814022,5722537
Haiti,-3076989,-2499604,-3188455,-3204969,-2938451,1301785,4240236
Montenegro,-2153473,-2185287,-1736896,-2067243,-2986099,736364,3722463
Afghanistan,-6531349,-5912948,-6904317,-5374632,-3115272,1573959,4689231
Bahamas,-2999852,-2783203,-1865927,-2939182,-3183583,574311,3757894
Armenia,-2426201,-2444178,-2034832,-2359964,-3327076,5306984,8634060
Niger,-1675542,-1918204,-1778873,-2151730,-3341091,446135,3787226
Maldives,-2778807,-2729067,-1674585,-2428969,-3364310,158393,3522703
Somalia,-3200354,-3564423,-4012629,-4612959,-3395041,123781,3518822
Syrian Arab Republic,-6093181,-5711939,-4016817,-4285996,-3713145,612067,4325212
Estonia,-1974843,-1861698,-861969,-1900118,-3857301,23145641,27002942
Nicaragua,-2337106,-1712956,-1457684,-3668112,-3886998,7359829,11246827
Mali,-981171,-1406969,449642,3783771,-3938738,2034251,5972989
"Macedonia, North",-2145340,-2250372,-2075853,-3203219,-4025828,8729356,12755184
Albania,-3065427,-3188574,-2995311,-4172608,-4101110,4306235,8407345
Paraguay,-4291983,-4535371,-1417801,-901157,-4214025,9953999,14168024
Slovenia,203941,-587460,958425,-2375297,-4243873,55478922,59722795
Sudan,-6864489,-3689931,-4435375,-2652741,-4283882,3164500,7448382
Sweden,-4285945,1573064,5499330,2315456,-4518093,197574754,202092847
Sri Lanka,,-7500158,-4900232,-8170645,-4530532,12770025,17300557
Honduras,-4942205,-6065898,-3305543,-6655054,-4640877,13179455,17820332
"Moldova, Republic of",-3057464,-3063322,-2948884,-4032259,-4883989,4335077,9219066
Mauritius,-3648905,-3726884,-2692661,-3494999,-5237981,1379960,6617941
Malta,-3579716,-4204108,-2901868,-4077083,-5302235,3268742,8570977
Latvia,-3547966,-3320473,-2118555,-3626706,-5368915,22525578,27894493
Bosnia and Herzegovina,-4445517,-4581129,-3719007,-4415975,-5704271,9678153,15382424
Costa Rica,-5310499,-4655886,-2831324,-4085380,-5823894,15319907,21143801
Jamaica,-4247730,-4737966,-3514880,-4535084,-6011885,849256,6861141
"Venezuela, Bolivarian Republic of",25779070,10867810,-2010155,-4702987,-6093657,4762567,10856224
Georgia,-4654959,-4699237,-3588911,-4405927,-6150697,3887489,10038186
Mozambique,-1658251,-2916427,-2977564,-3511011,-6313175,8199019,14512194
Djibouti,-5655361,-5157745,-5209955,-6288694,-6337202,603615,6940817
Senegal,-4451216,-3971057,-3885785,-3799390,-6404182,5725131,12129313
Chile,6614414,-48137,8568926,-2280469,-6639842,102625791,109265633
Slovakia,480007,-995407,1709304,-408441,-7202507,108012832,115215339
Yemen,-7093173,-8808190,-9319787,-9641016,-7274049,1711417,8985466
Kyrgyzstan,-3142787,-2938311,-1719643,-3911177,-7442357,2186721,9629078
Cyprus,-5744523,-5658264,-5591463,-6241309,-7477417,4411254,11888671
Bulgaria,-4140698,-4310666,-3112540,-5024920,-7841384,50250283,58091667
Lithuania,-3166837,-2608644,-523389,-3778070,-8608249,46501899,55110148
"Tanzania, United Republic of",-4716615,-4144378,-2492849,-4482401,-8829601,6824846,15654447
Hungary,6576292,4856647,6548061,2025080,-8832800,149580879,158413679
Luxembourg,-7970453,-8006246,-7376630,-9290021,-9258003,16809679,26067682
Cambodia,-4685143,-5454763,-1579724,-11131107,-9365829,20575773,29941602
El Salvador,-6292799,-6560024,-5948242,-9987091,-9992905,7115105,17108010
Gibraltar,-8771943,-8079400,-5951124,-7137840,-10402167,412078,10814245
Jordan,-12559638,-11023792,-9063638,-12185885,-10585878,8789820,19375698
New Zealand,-5381887,-4137680,412446,-6227425,-10679867,43996272,54676139
Ukraine,-9852436,-10745320,-5144120,-4770440,-10780854,44443214,55224068
Serbia,-6659930,-6990809,-6770248,-8226856,-11190951,28565681,39756632
Finland,-3093871,-880681,-2659546,-4763309,-11203209,86062131,97265340
"Iran, Islamic Republic of",55381353,4673381,2236639,22186646,-11361209,15597220,26958429
Nepal,-12076788,-11365630,-8890025,-14126941,-12416826,1299593,13716419
Uzbekistan,-6391559,-7510443,-6827856,-9689298,-12977072,15286928,28264000
Ethiopia,-11736907,-12897422,-11608210,-12232351,-13460715,3083778,16544493
Kenya,-11331083,-11384352,-9389968,-12546150,-13736958,7390793,21127751
Panama,-11382241,-10017006,-5082712,-7222622,-13782542,15466804,29249346
Marshall Islands,-12599990,-10700662,-14164562,-12746874,-15071287,1561639,16632926
Lebanon,-16566107,-15508044,-7547192,-9626727,-15637954,3862245,19500199
Poland,-5884618,5210893,-491401,-17619197,-15747939,342844658,358592597
"Macao, China",-10024427,-11000036,-10925915,-17954230,-16063808,1366738,17430546
Guatemala,-8791587,-8697922,-6804870,-13011715,-16292911,15806152,32099063
Bangladesh,-12121811,-10552373,-7422246,-22554235,-17232657,65971088,83203745
Dominican Republic,-12792253,-12124125,-8688740,-15111160,-17599707,12390307,29990014
Croatia,-10902620,-10941364,-9104708,-11907307,-18731885,25383045,44114930
Austria,-7203230,-5064076,-2490450,-16209815,-21667063,210279459,231946522
Thailand,-1177885,5241269,20662673,-1609614,-22154205,284106705,306260910
Mexico,-13356221,5367912,34002274,-11969956,-26332978,578281629,604614607
Morocco,-21936189,-21475012,-16813273,-22088514,-30501196,42331463,72832659
Egypt,-52961472,-46481483,-33464409,-33079525,-31563495,48148651,79712146
Portugal,-21493393,-22477306,-16434158,-23094343,-32681809,82353899,115035708
Israel,-14677698,-18090093,-19107450,-31998868,-33499329,73583359,107082688
Romania,-17800027,-19345571,-21009907,-28012216,-35869961,96829602,132699563
Colombia,-9463106,-10916800,-12442986,-20612762,-38462399,38950952,77413351
Pakistan,-36612512,-26315995,-23595963,-44226618,-39928759,31175925,71104684
Greece,-25650927,-24312518,-20463176,-30040751,-40402271,57568025,97970296
Ship stores and bunkers,-39658699,-29185483,-19388575,-23593391,-42114601,14856298,56970899
Italy,46325862,62791101,72327992,47707835,-42715160,700314893,743030053
"Korea, Republic of",69996799,39073940,45248342,29404127,-47781585,683584759,731366344
"Hong Kong, China",-58221291,-42879132,-21545554,-41815266,-57611332,611481903,669093235
Philippines,-47631259,-42574726,-26879134,-49766774,-66960098,78929719,145889817
Spain,-44992390,-38270056,-17658288,-34501298,-74769014,424286055,499055069
Türkiye,-55123017,-29476049,-49856433,-46158444,-109539088,254171899,363710987
Japan,-10927953,-15122432,6274970,-16259519,-153026533,752071999,905098532
France,-96393051,-87402710,-93242835,-133956238,-204827905,606853494,811681399
India,-185275548,-155633003,-92491618,-175588331,-279881779,452684214,732565993
United Kingdom,-180853894,-224171754,-228297699,-227075576,-285818339,530481545,816299884
United States of America,-943438394,-920715821,-981996731,-1181013784,-1313010925,2062937261,3375948186
Caribbean Nes,,-1,,,,,
